# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,平均屏幕停留时间
2018/10/19,00:00:40
2018/10/20,00:00:33
2018/10/21,00:00:30
2018/10/22,00:00:32
2018/10/23,00:00:36
2018/10/24,00:00:38
2018/10/25,00:00:36
2018/10/26,00:00:39
2018/10/27,00:00:35
2018/10/28,00:00:31
2018/10/29,00:00:37
2018/10/30,00:00:36
2018/10/31,00:00:46
2018/11/1,00:00:37
2018/11/2,00:00:37
2018/11/3,00:00:34
2018/11/4,00:00:35
2018/11/5,00:00:39
2018/11/6,00:00:40
2018/11/7,00:00:41
2018/11/8,00:00:38
2018/11/9,00:00:37
2018/11/10,00:00:33
2018/11/11,00:00:32
2018/11/12,00:00:38
2018/11/13,00:00:37
2018/11/14,00:00:39
2018/11/15,00:00:37
2018/11/16,00:00:36
2018/11/17,00:00:33
2018/11/18,00:00:30
2018/11/19,00:00:36
2018/11/20,00:00:37
2018/11/21,00:00:38
2018/11/22,00:00:37
